nid	len
571828	1062
570873	1062
571452	1061
567924	1061
574592	1061
571068	1061
572364	1061
573435	1061
575572	1060
575698	1060
575982	1060
577857	1059
569207	1059
568968	1059
573358	1059
576714	1059
577276	1059
567617	1058
571483	1058
576453	1058
579530	1058
576412	1057
571205	1056
575557	1056
574295	1056
571278	1056
574352	1056
574353	1056
580502	1056
570800	1056
576256	1055
574213	1055
574251	1055
569967	1055
572802	1055
574351	1055
577207	1055
576718	1055
576790	1054
578889	1054
571260	1054
579465	1054
573334	1054
574375	1054
569027	1054
577014	1054
571132	1054
576058	1053
574546	1053
571241	1053
568955	1053
572697	1052
574336	1052
568713	1052
570253	1052
577145	1051
577916	1051
574291	1050
567731	1050
570810	1050
573436	1050
570890	1049
578211	1049
574379	1049
576829	1048
578227	1048
576201	1048
573472	1047
577850	1047
577854	1047
572357	1047
572367	1047
571918	1046
568086	1046
577317	1046
571286	1046
577186	1046
573398	1045
572290	1044
570647	1043
579118	1043
577840	1043
574522	1043
568894	1043
574527	1043
576860	1043
568286	1043
577803	1042
569901	1042
568879	1042
569743	1042
577957	1042
571057	1042
576569	1041
568907	1041
569458	1041
572798	1041
568710	1041
576177	1041
570562	1041
570839	1041
577178	1040
572475	1039
574365	1039
580305	1039
573189	1038
568333	1038
570723	1038
572838	1038
576972	1038
577822	1037
579455	1037
576457	1037
576212	1037
569099	1036
571985	1036
567891	1036
577896	1036
579285	1036
572767	1035
569450	1035
577174	1035
567979	1035
580310	1035
580063	1035
577831	1034
576562	1034
570935	1034
574156	1034
579577	1034
576789	1033
578405	1033
578778	1033
577756	1033
577815	1032
575574	1032
576380	1032
569319	1032
570870	1032
570680	1031
570612	1031
576473	1030
577757	1030
572127	1030
576573	1029
570468	1029
579958	1029
579477	1029
576011	1028
576795	1028
577084	1028
574363	1028
580257	1028
576703	1028
571339	1028
568576	1027
574514	1027
571983	1027
570458	1026
571740	1025
578085	1024
567915	1024
579181	1024
576906	1024
573338	1024
578226	1024
571592	1024
576722	1024
574218	1023
576851	1023
576085	1023
571289	1023
579282	1023
572635	1023
576224	1023
573033	1022
570087	1022
571154	1021
572446	1021
574243	1021
574534	1021
569180	1021
572683	1020
576045	1020
571204	1020
574576	1020
579068	1020
568474	1019
568999	1019
576478	1019
579042	1019
577751	1018
571359	1018
574185	1018
569093	1017
570425	1017
576366	1017
574078	1017
574186	1017
574368	1016
568317	1016
569087	1016
567901	1015
577889	1015
576657	1015
574430	1015
573925	1015
567534	1015
577537	1014
577549	1014
576799	1014
576821	1014
578372	1014
580179	1014
568438	1014
573343	1014
576969	1014
577738	1014
575987	1014
577524	1014
568832	1013
574006	1013
570865	1013
570447	1012
